epoch,lrate,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,elapsed_time
1,0.25,0.9012130260467529,1.0950878446484789,0.26827823834674475,0.0005203277915887652,0.19254684344361292,4.756593175719621e-10,42.983752489089966
2,0.25,0.7934686760107676,0.7419315816934217,0.38483986134537973,0.48177703259229826,0.2661298849438961,0.3479104269919909,43.15674567222595
3,0.25,0.7612912893295288,0.7962472924479732,0.41609771770873166,0.3764377819984293,0.2913472990773193,0.24230491997591858,43.241636514663696
4,0.25,0.7044123182694118,0.6726481850745747,0.41608931505544977,0.4119742408546688,0.28515287419560503,0.26570659628033677,44.4295814037323
5,0.25,0.6430166204770406,0.5622672840891552,0.46329640455516147,0.4986731202742386,0.31609042072026233,0.34463742586195084,45.329036235809326
6,0.25,0.5858058636387189,0.4840118406731405,0.48357492331169166,0.5757331987371485,0.33337773903270695,0.41934629646702076,43.90055823326111
7,0.25,0.5416001319885254,0.5575638092103808,0.5181052544217624,0.4539448160922053,0.36454064755360716,0.3001109901431399,43.79045510292053
8,0.25,0.5339297284682591,0.5780924362410244,0.5215866055972709,0.4796635636196976,0.3669752730928364,0.32637476849403474,43.22535681724548
9,0.25,0.5188109705845515,0.5253606860529739,0.5199595323456534,0.5255948644241328,0.36456478344336996,0.364173283228593,43.42727327346802
10,0.25,0.46152194738388064,0.3731389412418805,0.5701483840444558,0.6321925295672861,0.41280681160338895,0.47162419219589885,44.276599645614624
11,0.25,0.4277264585097631,0.34305081912028934,0.5976152761409412,0.6536902753170802,0.4403054934887531,0.4995559958980954,45.7526752948761
12,0.25,0.41217876027027767,0.3745008358739531,0.6195273894729769,0.6135404401695962,0.46272623422926196,0.4566380620435563,44.427377700805664
13,0.25,0.42989290654659273,0.41142829283765314,0.6041257820440686,0.6155877772681412,0.4459208848821544,0.45580061424974744,45.571555852890015
14,0.25,0.3963305115699768,0.32516794599623344,0.6296628618135787,0.6571742405359695,0.47171730037176096,0.5015216436591026,49.094465494155884
15,0.25,0.38795994569857917,0.38638103081856245,0.641328215831767,0.6417707173931004,0.4849109621741113,0.48631520780895265,49.15571212768555
16,0.25,0.36602557500203453,0.32196226384904647,0.6531672367168359,0.6760316151398629,0.49821241751115297,0.5213947030369477,51.64911723136902
17,0.25,0.3558536631365617,0.27983280648419884,0.6606992418511417,0.7206829602689052,0.5050306476641493,0.5734265977762204,49.25781297683716
18,0.25,0.34046846628189087,0.2917520551033962,0.676242970533904,0.714306000366737,0.5232912785511294,0.5657901762319706,48.70834040641785
19,0.25,0.33238071724772456,0.30279358546920276,0.6918266864807895,0.7012349817725154,0.5413013823779612,0.5491872196763192,50.5554780960083
20,0.25,0.3259152762591839,0.2843089947484648,0.7018155975800315,0.7342345719350832,0.5528124804064816,0.5869078191784818,51.252559661865234
21,0.25,0.3240597734848658,0.26236559800159787,0.6970928981105641,0.7353016699674022,0.5465437624825725,0.5906086859624902,49.68112134933472
22,0.25,0.32250565364956857,0.28433120949768725,0.7011265612668988,0.7340843591947698,0.5513352042585882,0.5913224011212429,49.74589395523071
23,0.25,0.31522201125820476,0.48532863838191875,0.7055002599011928,0.5610494172673711,0.5573250976160367,0.40002505486711465,52.011741638183594
24,0.25,0.3362197575469812,0.3246289227970343,0.683448830652504,0.7020413070704908,0.5326009347366737,0.5492917708412041,49.03712821006775
25,0.25,0.28363939647873243,0.2179981136518251,0.7379947636050462,0.8022207581824455,0.5959607066444078,0.6790092066530662,49.308539628982544
26,0.25,0.2936296045780182,0.5120228681054135,0.730588928478093,0.567211703087067,0.5864715229888657,0.40911861061762117,48.88687324523926
27,0.25,0.3194243726631006,0.2687719431188371,0.6990473330638561,0.7137468493578584,0.5494321534125068,0.5638565410498491,48.85579204559326
28,0.25,0.279641247044007,0.25112955799563924,0.7384827866477168,0.7438473055851346,0.5966754055822381,0.6016771203426045,49.42315888404846
29,0.25,0.29929942016800243,0.3676173380372946,0.7169028564437668,0.6449770119886149,0.5694527089138471,0.4862898607407903,49.329689741134644
30,0.25,0.2744045101106167,0.23062522182003461,0.7460486434137487,0.797178249489512,0.6056714912319685,0.6753707323952787,50.72596979141235
31,0.25,0.3133324002226194,0.32027091717523803,0.7078875047801528,0.7162295171601565,0.562202998103754,0.5699419177754202,49.0610613822937
32,0.25,0.2849637411534786,0.2136291246477959,0.7354051092503043,0.801238016813097,0.5936101952276736,0.6771923626538502,50.541648149490356
33,0.25,0.27734554608662926,0.2177809578033141,0.7429485698999893,0.7870062165258986,0.6022202899533686,0.6603423267550705,50.27155613899231
34,0.25,0.2574734432001909,0.259474220896454,0.7625374506481424,0.7757919802099734,0.6272500302489107,0.6447852465076493,52.49715256690979
35,0.25,0.2521530332664649,0.24790159186708582,0.7632550351912403,0.772218450650325,0.6284756895173574,0.6375867502452404,50.67824625968933
36,0.25,0.25020515397191045,0.21510233776068982,0.7733546711476834,0.8032189556261534,0.6405148795195431,0.679335445662409,48.24695014953613
37,0.25,0.23834049676855404,0.20181026533552648,0.7842228107239665,0.8051269558327303,0.6549099385109504,0.6847603248753094,49.57746410369873
38,0.25,0.23882783502340316,0.22536186334282282,0.7823300991132115,0.7868140082244242,0.6528413109280915,0.6570131623631363,51.50774931907654
39,0.25,0.25011175523201623,0.18214861226915824,0.775155781302741,0.8352362971722256,0.6441090961343702,0.7241952350261164,50.92689514160156
40,0.25,0.24205893004933993,0.19628043350123575,0.7866767555125452,0.8145426016833023,0.6580703801000344,0.6960087829169056,50.38425636291504
41,0.25,0.2500225832064947,0.24905295443142392,0.7699400969131184,0.747658348912561,0.6364052462098025,0.6065477530486973,52.24813890457153
